Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Respiration Rate(bpm),time
1727926386.85,10.815177917480469,,,,,10.35
1727926386.9,10.7027587890625,,,,,10.4
1727926386.95,10.61077880859375,,,,,10.45
1727926387.0,10.807510375976562,,,,,10.5
1727926387.05,11.612335205078123,,,,,10.55
1727926387.1,12.23064422607422,,,,,10.6
1727926387.15,13.015029907226562,,,,,10.65
1727926387.2,13.464714050292969,,,,,10.7
1727926387.25,14.243988037109377,,,,,10.75
1727926387.3,14.933837890625,,,,,10.8
1727926387.35,16.083587646484375,,,,,10.85
1727926387.4,16.834754943847656,,,,,10.9
1727926387.45,17.723899841308594,,,,,10.95
1727926387.5,17.96662139892578,,,,,11.0
1727926387.55,17.481170654296875,,,,,11.05
1727926387.6,16.834754943847656,,,,,11.1
1727926387.65,16.25732421875,,,,,11.15
1727926387.7,16.152572631835938,,,,,11.2
1727926387.75,15.971168518066406,,,,,11.25
1727926387.8,15.730995178222656,,,,,11.3
1727926387.85,15.421844482421877,,,,,11.35
1727926387.9,15.347747802734377,,,,,11.4
1727926387.95,15.196998596191406,,,,,11.45
1727926388.0,14.95427703857422,,,,,11.5
1727926388.05,14.560806274414062,,,,,11.55
1727926388.1,14.412612915039062,,,,,11.6
1727926388.15,14.369178771972656,,,,,11.65
1727926388.2,14.387069702148438,,,,,11.7
1727926388.25,14.468826293945312,,,,,11.75
1727926388.3,14.596580505371094,,,,,11.8
1727926388.35,14.7498779296875,,,,,11.85
1727926388.4,14.670669555664062,,,,,11.9
1727926388.45,14.468826293945312,,,,,11.95
1727926388.5,14.425392150878906,,,,,12.0
1727926388.55,14.330856323242188,,,,,12.05
1727926388.6,14.197998046875,,,,,12.1
1727926388.65,14.075355529785156,,,,,12.15
1727926388.7,14.14178466796875,,,,,12.2
1727926388.75,14.297637939453123,,,,,12.25
1727926388.8,14.269538879394531,,,,,12.3
1727926388.85,13.988487243652344,,,,,12.35
1727926388.9,13.717658996582031,,,,,12.4
1727926388.95,13.21942901611328,,,,,12.45
1727926389.0,12.877059936523438,,,,,12.5
1727926389.05,12.532135009765623,,,,,12.55
1727926389.1,12.401832580566406,,,,,12.6
1727926389.15,12.1361083984375,,,,,12.65
1727926389.2,11.82184600830078,,,,,12.7
1727926389.25,11.26996612548828,,,,,12.75
1727926389.3,10.97614288330078,,,,,12.8
1727926389.35,10.689979553222656,,,,,12.85
1727926389.4,10.605667114257812,,,,,12.9
1727926389.45,10.516242980957031,,,,,12.95
1727926389.5,10.401268005371094,,,,,13.0
1727926389.55,10.217308044433594,,,,,13.05
1727926389.6,10.13043975830078,,,,,13.1
1727926389.65,10.069114685058594,,,,,13.15
1727926389.7,10.079338073730469,,,,,13.2
1727926389.75,10.09722137451172,,,,,13.25
1727926389.8,10.064010620117188,,,,,13.3
1727926389.85,9.956695556640623,,,,,13.35
