Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Unnamed: 3,Unnamed: 4,Unnamed: 5,time
9450,1709759192.5,7.67252349853516,,,,,4.549999952316284
9451,1709759192.55,7.40425109863281,,,,,4.599999904632568
9452,1709759192.6,6.88814544677734,,,,,4.6499998569488525
9453,1709759192.65,6.78594207763672,,,,,4.700000047683716
9454,1709759192.7,6.80638122558594,,,,,4.75
9455,1709759192.75,6.68885040283203,,,,,4.799999952316284
9456,1709759192.8,6.51766967773438,,,,,4.849999904632568
9457,1709759192.85,6.53810882568359,,,,,4.8999998569488525
9458,1709759192.9,6.594314575195311,,,,,4.950000047683716
9459,1709759192.95,6.64541625976563,,,,,5.0
9460,1709759193.0,6.81149291992188,,,,,5.049999952316284
9461,1709759193.05,6.9111404418945295,,,,,5.099999904632568
9462,1709759193.1,6.96479034423828,,,,,5.1499998569488525
9463,1709759193.15,6.96479034423828,,,,,5.200000047683716
9464,1709759193.2,6.93413543701172,,,,,5.25
9465,1709759193.25,6.8779220581054705,,,,,5.299999952316284
9466,1709759193.3,6.73484039306641,,,,,5.349999904632568
9467,1709759193.35,6.6556396484375,,,,,5.3999998569488525
9468,1709759193.4,6.42313385009766,,,,,5.450000047683716
9469,1709759193.45,6.03733062744141,,,,,5.5
9470,1709759193.5,5.79971313476563,,,,,5.549999952316284
9471,1709759193.55,6.03477478027344,,,,,5.599999904632568
9472,1709759193.6,6.17274475097656,,,,,5.6499998569488525
9473,1709759193.65,6.08586883544922,,,,,5.700000047683716
9474,1709759193.7,6.12675476074219,,,,,5.75
9475,1709759193.75,6.205955505371089,,,,,5.799999952316284
9476,1709759193.8,6.21617889404297,,,,,5.849999904632568
9477,1709759193.85,6.19318389892578,,,,,5.8999998569488525
9478,1709759193.9,6.11141967773438,,,,,5.950000047683716
9479,1709759193.95,6.03477478027344,,,,,6.0
9480,1709759194.0,5.94023895263672,,,,,6.049999952316284
9481,1709759194.05,5.78948974609375,,,,,6.099999904632568
9482,1709759194.1,5.41646575927734,,,,,6.1499998569488525
9483,1709759194.15,5.07664489746094,,,,,6.200000047683716
9484,1709759194.2,4.50432586669922,,,,,6.25
9485,1709759194.25,4.48133087158203,,,,,6.299999952316284
9486,1709759194.3,5.52632904052734,,,,,6.349999904632568
9487,1709759194.35,6.66841125488281,,,,,6.3999998569488525
9488,1709759194.4,8.31893920898438,,,,,6.450000047683716
9489,1709759194.45,9.243850708007807,,,,,6.5
9490,1709759194.5,10.3654937744141,,,,,6.549999952316284
9491,1709759194.55,10.8305053710938,,,,,6.599999904632568
9492,1709759194.6,10.8764953613281,,,,,6.6499998569488525
9493,1709759194.65,10.5826721191406,,,,,6.700000047683716
9494,1709759194.7,10.2377471923828,,,,,6.75
9495,1709759194.75,10.258186340332,,,,,6.799999952316284
9496,1709759194.8,10.258186340332,,,,,6.849999904632568
9497,1709759194.85,10.0818939208984,,,,,6.8999998569488525
9498,1709759194.9,9.650100708007807,,,,,6.950000047683716
9499,1709759194.95,9.36138153076172,,,,,7.0
9500,1709759195.0,9.14420318603516,,,,,7.049999952316284
9501,1709759195.05,9.13143157958984,,,,,7.099999904632568
9502,1709759195.1,9.02667999267578,,,,,7.1499998569488525
9503,1709759195.15,8.786506652832031,,,,,7.200000047683716
9504,1709759195.2,8.47734832763672,,,,,7.25
9505,1709759195.25,8.24485015869141,,,,,7.299999952316284
9506,1709759195.3,7.56010437011719,,,,,7.349999904632568
9507,1709759195.35,7.327598571777341,,,,,7.3999998569488525
9508,1709759195.4,7.62653350830078,,,,,7.450000047683716
9509,1709759195.45,7.733848571777341,,,,,7.5
9510,1709759195.5,7.59843444824219,,,,,7.549999952316284
9511,1709759195.55,7.567771911621089,,,,,7.599999904632568
9512,1709759195.6,7.68785858154297,,,,,7.6499998569488525
9513,1709759195.65,7.77983856201172,,,,,7.700000047683716
9514,1709759195.7,7.654640197753911,,,,,7.75
9515,1709759195.75,7.51922607421875,,,,,7.799999952316284
9516,1709759195.8,7.3889236450195295,,,,,7.849999904632568
9517,1709759195.85,7.28160858154297,,,,,7.8999998569488525
9518,1709759195.9,7.11553955078125,,,,,7.950000047683716
9519,1709759195.95,6.918800354003911,,,,,8.0
9520,1709759196.0,6.1369705200195295,,,,,8.049999952316284
9521,1709759196.05,5.41135406494141,,,,,8.099999904632568
9522,1709759196.1,4.793045043945311,,,,,8.149999856948853
9523,1709759196.15,4.8160400390625,,,,,8.200000047683716
9524,1709759196.2,4.94123077392578,,,,,8.25
9525,1709759196.25,4.83392333984375,,,,,8.299999952316284
9526,1709759196.3,4.6652908325195295,,,,,8.349999904632568
9527,1709759196.35,4.65507507324219,,,,,8.399999856948853
9528,1709759196.4,4.70616912841797,,,,,8.450000047683716
9529,1709759196.45,4.7036209106445295,,,,,8.5
9530,1709759196.5,4.69595336914063,,,,,8.549999952316284
9531,1709759196.55,4.70872497558594,,,,,8.599999904632568
9532,1709759196.6,4.601417541503911,,,,,8.649999856948853
9533,1709759196.65,4.53754425048828,,,,,8.700000047683716
9534,1709759196.7,4.5605392456054705,,,,,8.75
9535,1709759196.75,4.57331085205078,,,,,8.799999952316284
9536,1709759196.8,4.50177001953125,,,,,8.849999904632568
9537,1709759196.85,4.514549255371089,,,,,8.899999856948853
9538,1709759196.9,4.5579833984375,,,,,8.950000047683716
9539,1709759196.95,4.39446258544922,,,,,9.0
9540,1709759197.0,4.343360900878911,,,,,9.049999952316284
9541,1709759197.05,4.5554275512695295,,,,,9.099999904632568
9542,1709759197.1,4.62696838378906,,,,,9.149999856948853
9543,1709759197.15,4.5605392456054705,,,,,9.200000047683716
9544,1709759197.2,4.601417541503911,,,,,9.25
9545,1709759197.25,4.64740753173828,,,,,9.299999952316284
9546,1709759197.3,4.65251922607422,,,,,9.349999904632568
9547,1709759197.35,4.60397338867188,,,,,9.399999856948853
9548,1709759197.4,4.48133087158203,,,,,9.450000047683716
9549,1709759197.45,4.43789672851563,,,,,9.5
9550,1709759197.5,4.41490173339844,,,,,9.549999952316284
9551,1709759197.55,4.39446258544922,,,,,9.599999904632568
9552,1709759197.6,4.34591674804688,,,,,9.649999856948853
9553,1709759197.65,4.256492614746089,,,,,9.700000047683716
9554,1709759197.7,4.13129425048828,,,,,9.75
